"Year","Emission category","Greenhouse gas","Emission, thousand tonnes of CO2 eq. (GWP=AR5)"
"2011","1A4a Commercial and institutional","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4a Commercial and institutional","Hydrofluorocarbons (HFCs)",-
"2011","1A4a Commercial and institutional","Perfluorocarbons (PFCs)",-
"2011","1A4a Commercial and institutional","Sulfur hexafluoride (SF6)",-
"2011","1A4ai Commercial/institutional, stationary","Total",874
"2011","1A4ai Commercial/institutional, stationary","Carbon dioxide (CO2)",863
"2011","1A4ai Commercial/institutional, stationary","Methane (CH4)",3
"2011","1A4ai Commercial/institutional, stationary","Nitrous oxide (N2O)",7
"2011","1A4ai Commercial/institutional, stationary","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4ai Commercial/institutional, stationary","Hydrofluorocarbons (HFCs)",-
"2011","1A4ai Commercial/institutional, stationary","Perfluorocarbons (PFCs)",-
"2011","1A4ai Commercial/institutional, stationary","Sulfur hexafluoride (SF6)",-
"2011","1A4aii Commercial/institutional, off-road vehicles and other machinery","Total",371
"2011","1A4aii Commercial/institutional, off-road vehicles and other machinery","Carbon dioxide (CO2)",367
"2011","1A4aii Commercial/institutional, off-road vehicles and other machinery","Methane (CH4)",2
"2011","1A4aii Commercial/institutional, off-road vehicles and other machinery","Nitrous oxide (N2O)",2
"2011","1A4aii Commercial/institutional, off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4aii Commercial/institutional, off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"2011","1A4aii Commercial/institutional, off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"2011","1A4aii Commercial/institutional, off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"2011","1A4b Residential","Total",1794
"2011","1A4b Residential","Carbon dioxide (CO2)",1542
"2011","1A4b Residential","Methane (CH4)",214
"2011","1A4b Residential","Nitrous oxide (N2O)",39
"2011","1A4b Residential","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4b Residential","Hydrofluorocarbons (HFCs)",-
"2011","1A4b Residential","Perfluorocarbons (PFCs)",-
"2011","1A4b Residential","Sulfur hexafluoride (SF6)",-
"2011","1A4bi Residential, stationary","Total",1596
"2011","1A4bi Residential, stationary","Carbon dioxide (CO2)",1350
"2011","1A4bi Residential, stationary","Methane (CH4)",208
"2011","1A4bi Residential, stationary","Nitrous oxide (N2O)",38
"2011","1A4bi Residential, stationary","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4bi Residential, stationary","Hydrofluorocarbons (HFCs)",-
"2011","1A4bi Residential, stationary","Perfluorocarbons (PFCs)",-
"2011","1A4bi Residential, stationary","Sulfur hexafluoride (SF6)",-
"2011","1A4bii Residential, off-road vehicles and other machinery","Total",199
"2011","1A4bii Residential, off-road vehicles and other machinery","Carbon dioxide (CO2)",192
"2011","1A4bii Residential, off-road vehicles and other machinery","Methane (CH4)",6
"2011","1A4bii Residential, off-road vehicles and other machinery","Nitrous oxide (N2O)",1
"2011","1A4bii Residential, off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4bii Residential, off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"2011","1A4bii Residential, off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"2011","1A4bii Residential, off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"2011","1A4c Agriculture, forestry anf fishing","Total",1518
"2011","1A4c Agriculture, forestry anf fishing","Carbon dioxide (CO2)",1498
"2011","1A4c Agriculture, forestry anf fishing","Methane (CH4)",8
"2011","1A4c Agriculture, forestry anf fishing","Nitrous oxide (N2O)",12
"2011","1A4c Agriculture, forestry anf fishing","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4c Agriculture, forestry anf fishing","Hydrofluorocarbons (HFCs)",-
"2011","1A4c Agriculture, forestry anf fishing","Perfluorocarbons (PFCs)",-
"2011","1A4c Agriculture, forestry anf fishing","Sulfur hexafluoride (SF6)",-
"2011","1A4ci Agriculture/forestry, stationary","Total",582
"2011","1A4ci Agriculture/forestry, stationary","Carbon dioxide (CO2)",570
"2011","1A4ci Agriculture/forestry, stationary","Methane (CH4)",4
"2011","1A4ci Agriculture/forestry, stationary","Nitrous oxide (N2O)",7
"2011","1A4ci Agriculture/forestry, stationary","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4ci Agriculture/forestry, stationary","Hydrofluorocarbons (HFCs)",-
"2011","1A4ci Agriculture/forestry, stationary","Perfluorocarbons (PFCs)",-
"2011","1A4ci Agriculture/forestry, stationary","Sulfur hexafluoride (SF6)",-
"2011","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Total",826
"2011","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Carbon dioxide (CO2)",819
"2011","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Methane (CH4)",3
"2011","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Nitrous oxide (N2O)",4
"2011","1A4cii Agriculture/forestry, off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"2011","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"2011","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"2011","1A4ciii Fishing","Total",109
"2011","1A4ciii Fishing","Carbon dioxide (CO2)",108
"2011","1A4ciii Fishing","Methane (CH4)",0
"2011","1A4ciii Fishing","Nitrous oxide (N2O)",1
"2011","1A4ciii Fishing","F-gases (HFCs+PFCs+SF6)",-
"2011","1A4ciii Fishing","Hydrofluorocarbons (HFCs)",-
"2011","1A4ciii Fishing","Perfluorocarbons (PFCs)",-
"2011","1A4ciii Fishing","Sulfur hexafluoride (SF6)",-
"2011","1A5 Other fuel use","Total",1036
"2011","1A5 Other fuel use","Carbon dioxide (CO2)",1026
"2011","1A5 Other fuel use","Methane (CH4)",4
"2011","1A5 Other fuel use","Nitrous oxide (N2O)",6
"2011","1A5 Other fuel use","F-gases (HFCs+PFCs+SF6)",-
"2011","1A5 Other fuel use","Hydrofluorocarbons (HFCs)",-
"2011","1A5 Other fuel use","Perfluorocarbons (PFCs)",-
"2011","1A5 Other fuel use","Sulfur hexafluoride (SF6)",-
"2011","1B Fugitive emissions from fuels","Total",132
"2011","1B Fugitive emissions from fuels","Carbon dioxide (CO2)",88
"2011","1B Fugitive emissions from fuels","Methane (CH4)",44
"2011","1B Fugitive emissions from fuels","Nitrous oxide (N2O)",1
"2011","1B Fugitive emissions from fuels","F-gases (HFCs+PFCs+SF6)",-
"2011","1B Fugitive emissions from fuels","Hydrofluorocarbons (HFCs)",-
"2011","1B Fugitive emissions from fuels","Perfluorocarbons (PFCs)",-
"2011","1B Fugitive emissions from fuels","Sulfur hexafluoride (SF6)",-
"2011","1D International transport","Total",2587
"2011","1D International transport","Carbon dioxide (CO2)",2567
"2011","1D International transport","Methane (CH4)",2
"2011","1D International transport","Nitrous oxide (N2O)",18
"2011","1D International transport","F-gases (HFCs+PFCs+SF6)",-
"2011","1D International transport","Hydrofluorocarbons (HFCs)",-
"2011","1D International transport","Perfluorocarbons (PFCs)",-
"2011","1D International transport","Sulfur hexafluoride (SF6)",-
"2011","1D1a International aviation","Total",1971
"2011","1D1a International aviation","Carbon dioxide (CO2)",1957
"2011","1D1a International aviation","Methane (CH4)",0
"2011","1D1a International aviation","Nitrous oxide (N2O)",14
"2011","1D1a International aviation","F-gases (HFCs+PFCs+SF6)",-
"2011","1D1a International aviation","Hydrofluorocarbons (HFCs)",-
"2011","1D1a International aviation","Perfluorocarbons (PFCs)",-
"2011","1D1a International aviation","Sulfur hexafluoride (SF6)",-
"2011","1D1b International navigation","Total",615
"2011","1D1b International navigation","Carbon dioxide (CO2)",610
"2011","1D1b International navigation","Methane (CH4)",1
"2011","1D1b International navigation","Nitrous oxide (N2O)",4
"2011","1D1b International navigation","F-gases (HFCs+PFCs+SF6)",-
"2011","1D1b International navigation","Hydrofluorocarbons (HFCs)",-
"2011","1D1b International navigation","Perfluorocarbons (PFCs)",-
"2011","1D1b International navigation","Sulfur hexafluoride (SF6)",-
"2011","2 Industrial processes and product use","Total",6055
"2011","2 Industrial processes and product use","Carbon dioxide (CO2)",4581
"2011","2 Industrial processes and product use","Methane (CH4)",1
"2011","2 Industrial processes and product use","Nitrous oxide (N2O)",143
"2011","2 Industrial processes and product use","F-gases (HFCs+PFCs+SF6)",1329
"2011","2 Industrial processes and product use","Hydrofluorocarbons (HFCs)",1302
"2011","2 Industrial processes and product use","Perfluorocarbons (PFCs)",3
"2011","2 Industrial processes and product use","Sulfur hexafluoride (SF6)",24
"2011","2A Mineral industry","Total",1257
"2011","2A Mineral industry","Carbon dioxide (CO2)",1257
"2011","2A Mineral industry","Methane (CH4)",-
"2011","2A Mineral industry","Nitrous oxide (N2O)",-
"2011","2A Mineral industry","F-gases (HFCs+PFCs+SF6)",-
"2011","2A Mineral industry","Hydrofluorocarbons (HFCs)",-
"2011","2A Mineral industry","Perfluorocarbons (PFCs)",-
"2011","2A Mineral industry","Sulfur hexafluoride (SF6)",-
"2011","2B Chemical industry","Total",945
"2011","2B Chemical industry","Carbon dioxide (CO2)",828
"2011","2B Chemical industry","Methane (CH4)",1
"2011","2B Chemical industry","Nitrous oxide (N2O)",115
"2011","2B Chemical industry","F-gases (HFCs+PFCs+SF6)",-
"2011","2B Chemical industry","Hydrofluorocarbons (HFCs)",-
"2011","2B Chemical industry","Perfluorocarbons (PFCs)",-
"2011","2B Chemical industry","Sulfur hexafluoride (SF6)",-
"2011","2C Metal industry","Total",2383
"2011","2C Metal industry","Carbon dioxide (CO2)",2383
"2011","2C Metal industry","Methane (CH4)",0
"2011","2C Metal industry","Nitrous oxide (N2O)",-
"2011","2C Metal industry","F-gases (HFCs+PFCs+SF6)",-
"2011","2C Metal industry","Hydrofluorocarbons (HFCs)",-
"2011","2C Metal industry","Perfluorocarbons (PFCs)",-
"2011","2C Metal industry","Sulfur hexafluoride (SF6)",-
"2011","2D Non-energy products from fuels and solvent use","Total",113
"2011","2D Non-energy products from fuels and solvent use","Carbon dioxide (CO2)",112
"2011","2D Non-energy products from fuels and solvent use","Methane (CH4)",0
"2011","2D Non-energy products from fuels and solvent use","Nitrous oxide (N2O)",1
"2011","2D Non-energy products from fuels and solvent use","F-gases (HFCs+PFCs+SF6)",-
"2011","2D Non-energy products from fuels and solvent use","Hydrofluorocarbons (HFCs)",-
"2011","2D Non-energy products from fuels and solvent use","Perfluorocarbons (PFCs)",-
"2011","2D Non-energy products from fuels and solvent use","Sulfur hexafluoride (SF6)",-
"2011","2F Product uses as substitutes for ozone-depleting substances","Total",1301
"2011","2F Product uses as substitutes for ozone-depleting substances","Carbon dioxide (CO2)",-
"2011","2F Product uses as substitutes for ozone-depleting substances","Methane (CH4)",-
"2011","2F Product uses as substitutes for ozone-depleting substances","Nitrous oxide (N2O)",-
"2011","2F Product uses as substitutes for ozone-depleting substances","F-gases (HFCs+PFCs+SF6)",1301
"2011","2F Product uses as substitutes for ozone-depleting substances","Hydrofluorocarbons (HFCs)",1300
"2011","2F Product uses as substitutes for ozone-depleting substances","Perfluorocarbons (PFCs)",2
"2011","2F Product uses as substitutes for ozone-depleting substances","Sulfur hexafluoride (SF6)",-
"2011","2F1 Refrigeration and air conditioning","Total",1240
"2011","2F1 Refrigeration and air conditioning","Carbon dioxide (CO2)",-
"2011","2F1 Refrigeration and air conditioning","Methane (CH4)",-
"2011","2F1 Refrigeration and air conditioning","Nitrous oxide (N2O)",-
"2011","2F1 Refrigeration and air conditioning","F-gases (HFCs+PFCs+SF6)",1240
"2011","2F1 Refrigeration and air conditioning","Hydrofluorocarbons (HFCs)",1238
"2011","2F1 Refrigeration and air conditioning","Perfluorocarbons (PFCs)",2
"2011","2F1 Refrigeration and air conditioning","Sulfur hexafluoride (SF6)",-
"2011","2F1a Commercial refrigeration","Total",809
"2011","2F1a Commercial refrigeration","Carbon dioxide (CO2)",-
"2011","2F1a Commercial refrigeration","Methane (CH4)",-
"2011","2F1a Commercial refrigeration","Nitrous oxide (N2O)",-
"2011","2F1a Commercial refrigeration","F-gases (HFCs+PFCs+SF6)",809
"2011","2F1a Commercial refrigeration","Hydrofluorocarbons (HFCs)",808
"2011","2F1a Commercial refrigeration","Perfluorocarbons (PFCs)",1
"2011","2F1a Commercial refrigeration","Sulfur hexafluoride (SF6)",-
"2011","2F1b Domestic refrigeration","Total",3
"2011","2F1b Domestic refrigeration","Carbon dioxide (CO2)",-
"2011","2F1b Domestic refrigeration","Methane (CH4)",-
"2011","2F1b Domestic refrigeration","Nitrous oxide (N2O)",-
"2011","2F1b Domestic refrigeration","F-gases (HFCs+PFCs+SF6)",3
"2011","2F1b Domestic refrigeration","Hydrofluorocarbons (HFCs)",3
"2011","2F1b Domestic refrigeration","Perfluorocarbons (PFCs)",-
"2011","2F1b Domestic refrigeration","Sulfur hexafluoride (SF6)",-
"2011","2F1c Industrial refrigeration","Total",55
"2011","2F1c Industrial refrigeration","Carbon dioxide (CO2)",-
"2011","2F1c Industrial refrigeration","Methane (CH4)",-
"2011","2F1c Industrial refrigeration","Nitrous oxide (N2O)",-
"2011","2F1c Industrial refrigeration","F-gases (HFCs+PFCs+SF6)",55
"2011","2F1c Industrial refrigeration","Hydrofluorocarbons (HFCs)",55
"2011","2F1c Industrial refrigeration","Perfluorocarbons (PFCs)",1
"2011","2F1c Industrial refrigeration","Sulfur hexafluoride (SF6)",-
"2011","2F1d Transport refrigeration","Total",15
"2011","2F1d Transport refrigeration","Carbon dioxide (CO2)",-
"2011","2F1d Transport refrigeration","Methane (CH4)",-
"2011","2F1d Transport refrigeration","Nitrous oxide (N2O)",-
"2011","2F1d Transport refrigeration","F-gases (HFCs+PFCs+SF6)",15
"2011","2F1d Transport refrigeration","Hydrofluorocarbons (HFCs)",15
"2011","2F1d Transport refrigeration","Perfluorocarbons (PFCs)",0
"2011","2F1d Transport refrigeration","Sulfur hexafluoride (SF6)",-
"2011","2F1e Mobile air-conditioning","Total",249
"2011","2F1e Mobile air-conditioning","Carbon dioxide (CO2)",-
"2011","2F1e Mobile air-conditioning","Methane (CH4)",-
"2011","2F1e Mobile air-conditioning","Nitrous oxide (N2O)",-
"2011","2F1e Mobile air-conditioning","F-gases (HFCs+PFCs+SF6)",249
"2011","2F1e Mobile air-conditioning","Hydrofluorocarbons (HFCs)",249
"2011","2F1e Mobile air-conditioning","Perfluorocarbons (PFCs)",-
"2011","2F1e Mobile air-conditioning","Sulfur hexafluoride (SF6)",-
"2011","2F1f Stationary air-conditioning","Total",108
"2011","2F1f Stationary air-conditioning","Carbon dioxide (CO2)",-
"2011","2F1f Stationary air-conditioning","Methane (CH4)",-
"2011","2F1f Stationary air-conditioning","Nitrous oxide (N2O)",-
"2011","2F1f Stationary air-conditioning","F-gases (HFCs+PFCs+SF6)",108
"2011","2F1f Stationary air-conditioning","Hydrofluorocarbons (HFCs)",108
"2011","2F1f Stationary air-conditioning","Perfluorocarbons (PFCs)",-
"2011","2F1f Stationary air-conditioning","Sulfur hexafluoride (SF6)",-
"2011","2F2 Foam blowing agents","Total",15
"2011","2F2 Foam blowing agents","Carbon dioxide (CO2)",-
"2011","2F2 Foam blowing agents","Methane (CH4)",-
"2011","2F2 Foam blowing agents","Nitrous oxide (N2O)",-
"2011","2F2 Foam blowing agents","F-gases (HFCs+PFCs+SF6)",15
"2011","2F2 Foam blowing agents","Hydrofluorocarbons (HFCs)",15
"2011","2F2 Foam blowing agents","Perfluorocarbons (PFCs)",-
"2011","2F2 Foam blowing agents","Sulfur hexafluoride (SF6)",-
"2011","2F4 Aerosols","Total",46
"2011","2F4 Aerosols","Carbon dioxide (CO2)",-
"2011","2F4 Aerosols","Methane (CH4)",-
"2011","2F4 Aerosols","Nitrous oxide (N2O)",-
"2011","2F4 Aerosols","F-gases (HFCs+PFCs+SF6)",46
"2011","2F4 Aerosols","Hydrofluorocarbons (HFCs)",46
"2011","2F4 Aerosols","Perfluorocarbons (PFCs)",-
"2011","2F4 Aerosols","Sulfur hexafluoride (SF6)",-
"2011","2G Other product manufacture and use","Total",38
"2011","2G Other product manufacture and use","Carbon dioxide (CO2)",-
"2011","2G Other product manufacture and use","Methane (CH4)",-
"2011","2G Other product manufacture and use","Nitrous oxide (N2O)",27
"2011","2G Other product manufacture and use","F-gases (HFCs+PFCs+SF6)",11
"2011","2G Other product manufacture and use","Hydrofluorocarbons (HFCs)",-
"2011","2G Other product manufacture and use","Perfluorocarbons (PFCs)",-
"2011","2G Other product manufacture and use","Sulfur hexafluoride (SF6)",11
"2011","2H Other emissions from industrial processses","Total",17
"2011","2H Other emissions from industrial processses","Carbon dioxide (CO2)",-
"2011","2H Other emissions from industrial processses","Methane (CH4)",-
"2011","2H Other emissions from industrial processses","Nitrous oxide (N2O)",-
"2011","2H Other emissions from industrial processses","F-gases (HFCs+PFCs+SF6)",17
"2011","2H Other emissions from industrial processses","Hydrofluorocarbons (HFCs)",2
"2011","2H Other emissions from industrial processses","Perfluorocarbons (PFCs)",1
"2011","2H Other emissions from industrial processses","Sulfur hexafluoride (SF6)",14
"2011","3 Agriculture","Total",6106
"2011","3 Agriculture","Carbon dioxide (CO2)",202
"2011","3 Agriculture","Methane (CH4)",2690
"2011","3 Agriculture","Nitrous oxide (N2O)",3213
"2011","3 Agriculture","F-gases (HFCs+PFCs+SF6)",-
"2011","3 Agriculture","Hydrofluorocarbons (HFCs)",-
"2011","3 Agriculture","Perfluorocarbons (PFCs)",-
"2011","3 Agriculture","Sulfur hexafluoride (SF6)",-
"2011","3A  Enteric fermentation","Total",2198
"2011","3A  Enteric fermentation","Carbon dioxide (CO2)",-
"2011","3A  Enteric fermentation","Methane (CH4)",2198
"2011","3A  Enteric fermentation","Nitrous oxide (N2O)",-
"2011","3A  Enteric fermentation","F-gases (HFCs+PFCs+SF6)",-
"2011","3A  Enteric fermentation","Hydrofluorocarbons (HFCs)",-
"2011","3A  Enteric fermentation","Perfluorocarbons (PFCs)",-
"2011","3A  Enteric fermentation","Sulfur hexafluoride (SF6)",-
"2011","3A1 Cattle","Total",1975
"2011","3A1 Cattle","Carbon dioxide (CO2)",-
"2011","3A1 Cattle","Methane (CH4)",1975
"2011","3A1 Cattle","Nitrous oxide (N2O)",-
"2011","3A1 Cattle","F-gases (HFCs+PFCs+SF6)",-
"2011","3A1 Cattle","Hydrofluorocarbons (HFCs)",-
"2011","3A1 Cattle","Perfluorocarbons (PFCs)",-
"2011","3A1 Cattle","Sulfur hexafluoride (SF6)",-
"2011","3A1a Dairy cattle","Total",1100
"2011","3A1a Dairy cattle","Carbon dioxide (CO2)",-
"2011","3A1a Dairy cattle","Methane (CH4)",1100
"2011","3A1a Dairy cattle","Nitrous oxide (N2O)",-
"2011","3A1a Dairy cattle","F-gases (HFCs+PFCs+SF6)",-
"2011","3A1a Dairy cattle","Hydrofluorocarbons (HFCs)",-
"2011","3A1a Dairy cattle","Perfluorocarbons (PFCs)",-
"2011","3A1a Dairy cattle","Sulfur hexafluoride (SF6)",-
"2011","3A1b Non-dairy cattle","Total",874
"2011","3A1b Non-dairy cattle","Carbon dioxide (CO2)",-
"2011","3A1b Non-dairy cattle","Methane (CH4)",874
"2011","3A1b Non-dairy cattle","Nitrous oxide (N2O)",-
"2011","3A1b Non-dairy cattle","F-gases (HFCs+PFCs+SF6)",-
"2011","3A1b Non-dairy cattle","Hydrofluorocarbons (HFCs)",-
"2011","3A1b Non-dairy cattle","Perfluorocarbons (PFCs)",-
"2011","3A1b Non-dairy cattle","Sulfur hexafluoride (SF6)",-
"2011","3A2 Sheep","Total",30
"2011","3A2 Sheep","Carbon dioxide (CO2)",-
"2011","3A2 Sheep","Methane (CH4)",30
"2011","3A2 Sheep","Nitrous oxide (N2O)",-
"2011","3A2 Sheep","F-gases (HFCs+PFCs+SF6)",-
"2011","3A2 Sheep","Hydrofluorocarbons (HFCs)",-
"2011","3A2 Sheep","Perfluorocarbons (PFCs)",-
"2011","3A2 Sheep","Sulfur hexafluoride (SF6)",-
"2011","3A3 Swine","Total",38
"2011","3A3 Swine","Carbon dioxide (CO2)",-
"2011","3A3 Swine","Methane (CH4)",38
"2011","3A3 Swine","Nitrous oxide (N2O)",-
"2011","3A3 Swine","F-gases (HFCs+PFCs+SF6)",-
"2011","3A3 Swine","Hydrofluorocarbons (HFCs)",-
"2011","3A3 Swine","Perfluorocarbons (PFCs)",-
"2011","3A3 Swine","Sulfur hexafluoride (SF6)",-
"2011","3A4a Goats","Total",1
"2011","3A4a Goats","Carbon dioxide (CO2)",-
"2011","3A4a Goats","Methane (CH4)",1
"2011","3A4a Goats","Nitrous oxide (N2O)",-
"2011","3A4a Goats","F-gases (HFCs+PFCs+SF6)",-
"2011","3A4a Goats","Hydrofluorocarbons (HFCs)",-
"2011","3A4a Goats","Perfluorocarbons (PFCs)",-
"2011","3A4a Goats","Sulfur hexafluoride (SF6)",-
"2011","3A4b Horses and ponies","Total",38
"2011","3A4b Horses and ponies","Carbon dioxide (CO2)",-
"2011","3A4b Horses and ponies","Methane (CH4)",38
"2011","3A4b Horses and ponies","Nitrous oxide (N2O)",-
"2011","3A4b Horses and ponies","F-gases (HFCs+PFCs+SF6)",-
"2011","3A4b Horses and ponies","Hydrofluorocarbons (HFCs)",-
"2011","3A4b Horses and ponies","Perfluorocarbons (PFCs)",-
"2011","3A4b Horses and ponies","Sulfur hexafluoride (SF6)",-
"2011","3A4di Reindeer","Total",109
"2011","3A4di Reindeer","Carbon dioxide (CO2)",-
"2011","3A4di Reindeer","Methane (CH4)",109
"2011","3A4di Reindeer","Nitrous oxide (N2O)",-
"2011","3A4di Reindeer","F-gases (HFCs+PFCs+SF6)",-
"2011","3A4di Reindeer","Hydrofluorocarbons (HFCs)",-
"2011","3A4di Reindeer","Perfluorocarbons (PFCs)",-
"2011","3A4di Reindeer","Sulfur hexafluoride (SF6)",-
"2011","3A4dii Fur-bearing animals","Total",7
"2011","3A4dii Fur-bearing animals","Carbon dioxide (CO2)",-
"2011","3A4dii Fur-bearing animals","Methane (CH4)",7
"2011","3A4dii Fur-bearing animals","Nitrous oxide (N2O)",-
"2011","3A4dii Fur-bearing animals","F-gases (HFCs+PFCs+SF6)",-
"2011","3A4dii Fur-bearing animals","Hydrofluorocarbons (HFCs)",-
"2011","3A4dii Fur-bearing animals","Perfluorocarbons (PFCs)",-
"2011","3A4dii Fur-bearing animals","Sulfur hexafluoride (SF6)",-
"2011","3B Manure management","Total",734
"2011","3B Manure management","Carbon dioxide (CO2)",-
"2011","3B Manure management","Methane (CH4)",491
"2011","3B Manure management","Nitrous oxide (N2O)",243
"2011","3B Manure management","F-gases (HFCs+PFCs+SF6)",-
"2011","3B Manure management","Hydrofluorocarbons (HFCs)",-
"2011","3B Manure management","Perfluorocarbons (PFCs)",-
"2011","3B Manure management","Sulfur hexafluoride (SF6)",-
"2011","3B1 Cattle","Total",399
"2011","3B1 Cattle","Carbon dioxide (CO2)",-
"2011","3B1 Cattle","Methane (CH4)",282
"2011","3B1 Cattle","Nitrous oxide (N2O)",117
"2011","3B1 Cattle","F-gases (HFCs+PFCs+SF6)",-
"2011","3B1 Cattle","Hydrofluorocarbons (HFCs)",-
"2011","3B1 Cattle","Perfluorocarbons (PFCs)",-
"2011","3B1 Cattle","Sulfur hexafluoride (SF6)",-
"2011","3B1a Dairy cattle","Total",244
"2011","3B1a Dairy cattle","Carbon dioxide (CO2)",-
"2011","3B1a Dairy cattle","Methane (CH4)",190
"2011","3B1a Dairy cattle","Nitrous oxide (N2O)",54
"2011","3B1a Dairy cattle","F-gases (HFCs+PFCs+SF6)",-
"2011","3B1a Dairy cattle","Hydrofluorocarbons (HFCs)",-
"2011","3B1a Dairy cattle","Perfluorocarbons (PFCs)",-
"2011","3B1a Dairy cattle","Sulfur hexafluoride (SF6)",-
"2011","3B1b Non-dairy cattle","Total",155
"2011","3B1b Non-dairy cattle","Carbon dioxide (CO2)",-
"2011","3B1b Non-dairy cattle","Methane (CH4)",93
"2011","3B1b Non-dairy cattle","Nitrous oxide (N2O)",62
"2011","3B1b Non-dairy cattle","F-gases (HFCs+PFCs+SF6)",-
"2011","3B1b Non-dairy cattle","Hydrofluorocarbons (HFCs)",-
"2011","3B1b Non-dairy cattle","Perfluorocarbons (PFCs)",-
"2011","3B1b Non-dairy cattle","Sulfur hexafluoride (SF6)",-
"2011","3B2 Sheep","Total",3
"2011","3B2 Sheep","Carbon dioxide (CO2)",-
"2011","3B2 Sheep","Methane (CH4)",1
"2011","3B2 Sheep","Nitrous oxide (N2O)",2
"2011","3B2 Sheep","F-gases (HFCs+PFCs+SF6)",-
"2011","3B2 Sheep","Hydrofluorocarbons (HFCs)",-
"2011","3B2 Sheep","Perfluorocarbons (PFCs)",-
"2011","3B2 Sheep","Sulfur hexafluoride (SF6)",-
"2011","3B3 Swine","Total",134
"2011","3B3 Swine","Carbon dioxide (CO2)",-
"2011","3B3 Swine","Methane (CH4)",123
"2011","3B3 Swine","Nitrous oxide (N2O)",11
"2011","3B3 Swine","F-gases (HFCs+PFCs+SF6)",-
"2011","3B3 Swine","Hydrofluorocarbons (HFCs)",-
"2011","3B3 Swine","Perfluorocarbons (PFCs)",-
"2011","3B3 Swine","Sulfur hexafluoride (SF6)",-
"2011","3B4a Goats","Total",0
"2011","3B4a Goats","Carbon dioxide (CO2)",-
"2011","3B4a Goats","Methane (CH4)",0
"2011","3B4a Goats","Nitrous oxide (N2O)",0
"2011","3B4a Goats","F-gases (HFCs+PFCs+SF6)",-
"2011","3B4a Goats","Hydrofluorocarbons (HFCs)",-
"2011","3B4a Goats","Perfluorocarbons (PFCs)",-
"2011","3B4a Goats","Sulfur hexafluoride (SF6)",-
"2011","3B4b Horses and ponies","Total",16
"2011","3B4b Horses and ponies","Carbon dioxide (CO2)",-
"2011","3B4b Horses and ponies","Methane (CH4)",5
"2011","3B4b Horses and ponies","Nitrous oxide (N2O)",12
"2011","3B4b Horses and ponies","F-gases (HFCs+PFCs+SF6)",-
"2011","3B4b Horses and ponies","Hydrofluorocarbons (HFCs)",-
"2011","3B4b Horses and ponies","Perfluorocarbons (PFCs)",-
"2011","3B4b Horses and ponies","Sulfur hexafluoride (SF6)",-
"2011","3B4c Poultry","Total",15
"2011","3B4c Poultry","Carbon dioxide (CO2)",-
"2011","3B4c Poultry","Methane (CH4)",10
"2011","3B4c Poultry","Nitrous oxide (N2O)",5
"2011","3B4c Poultry","F-gases (HFCs+PFCs+SF6)",-
"2011","3B4c Poultry","Hydrofluorocarbons (HFCs)",-
"2011","3B4c Poultry","Perfluorocarbons (PFCs)",-
"2011","3B4c Poultry","Sulfur hexafluoride (SF6)",-
"2011","3B4di Reindeer","Total",2
"2011","3B4di Reindeer","Carbon dioxide (CO2)",-
"2011","3B4di Reindeer","Methane (CH4)",2
"2011","3B4di Reindeer","Nitrous oxide (N2O)",-
"2011","3B4di Reindeer","F-gases (HFCs+PFCs+SF6)",-
"2011","3B4di Reindeer","Hydrofluorocarbons (HFCs)",-
"2011","3B4di Reindeer","Perfluorocarbons (PFCs)",-
"2011","3B4di Reindeer","Sulfur hexafluoride (SF6)",-
"2011","3B4dii Fur-bearing animals","Total",85
"2011","3B4dii Fur-bearing animals","Carbon dioxide (CO2)",-
"2011","3B4dii Fur-bearing animals","Methane (CH4)",69
"2011","3B4dii Fur-bearing animals","Nitrous oxide (N2O)",16
"2011","3B4dii Fur-bearing animals","F-gases (HFCs+PFCs+SF6)",-
"2011","3B4dii Fur-bearing animals","Hydrofluorocarbons (HFCs)",-
