"Year","Emission category","Greenhouse gas","Emission, thousand tonnes of CO2 eq. (GWP=AR5)"
"1990","1A4c Agriculture, forestry anf fishing","Hydrofluorocarbons (HFCs)",-
"1990","1A4c Agriculture, forestry anf fishing","Perfluorocarbons (PFCs)",-
"1990","1A4c Agriculture, forestry anf fishing","Sulfur hexafluoride (SF6)",-
"1990","1A4ci Agriculture/forestry, stationary","Total",778
"1990","1A4ci Agriculture/forestry, stationary","Carbon dioxide (CO2)",766
"1990","1A4ci Agriculture/forestry, stationary","Methane (CH4)",4
"1990","1A4ci Agriculture/forestry, stationary","Nitrous oxide (N2O)",9
"1990","1A4ci Agriculture/forestry, stationary","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4ci Agriculture/forestry, stationary","Hydrofluorocarbons (HFCs)",-
"1990","1A4ci Agriculture/forestry, stationary","Perfluorocarbons (PFCs)",-
"1990","1A4ci Agriculture/forestry, stationary","Sulfur hexafluoride (SF6)",-
"1990","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Total",937
"1990","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Carbon dioxide (CO2)",928
"1990","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Methane (CH4)",3
"1990","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Nitrous oxide (N2O)",6
"1990","1A4cii Agriculture/forestry, off-road vehicles and other machinery","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Hydrofluorocarbons (HFCs)",-
"1990","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Perfluorocarbons (PFCs)",-
"1990","1A4cii Agriculture/forestry, off-road vehicles and other machinery","Sulfur hexafluoride (SF6)",-
"1990","1A4ciii Fishing","Total",178
"1990","1A4ciii Fishing","Carbon dioxide (CO2)",176
"1990","1A4ciii Fishing","Methane (CH4)",0
"1990","1A4ciii Fishing","Nitrous oxide (N2O)",1
"1990","1A4ciii Fishing","F-gases (HFCs+PFCs+SF6)",-
"1990","1A4ciii Fishing","Hydrofluorocarbons (HFCs)",-
"1990","1A4ciii Fishing","Perfluorocarbons (PFCs)",-
"1990","1A4ciii Fishing","Sulfur hexafluoride (SF6)",-
"1990","1A5 Other fuel use","Total",1138
"1990","1A5 Other fuel use","Carbon dioxide (CO2)",1126
"1990","1A5 Other fuel use","Methane (CH4)",4
"1990","1A5 Other fuel use","Nitrous oxide (N2O)",8
"1990","1A5 Other fuel use","F-gases (HFCs+PFCs+SF6)",-
"1990","1A5 Other fuel use","Hydrofluorocarbons (HFCs)",-
"1990","1A5 Other fuel use","Perfluorocarbons (PFCs)",-
"1990","1A5 Other fuel use","Sulfur hexafluoride (SF6)",-
"1990","1B Fugitive emissions from fuels","Total",125
"1990","1B Fugitive emissions from fuels","Carbon dioxide (CO2)",111
"1990","1B Fugitive emissions from fuels","Methane (CH4)",12
"1990","1B Fugitive emissions from fuels","Nitrous oxide (N2O)",1
"1990","1B Fugitive emissions from fuels","F-gases (HFCs+PFCs+SF6)",-
"1990","1B Fugitive emissions from fuels","Hydrofluorocarbons (HFCs)",-
"1990","1B Fugitive emissions from fuels","Perfluorocarbons (PFCs)",-
"1990","1B Fugitive emissions from fuels","Sulfur hexafluoride (SF6)",-
"1990","1D International transport","Total",2864
"1990","1D International transport","Carbon dioxide (CO2)",2840
"1990","1D International transport","Methane (CH4)",4
"1990","1D International transport","Nitrous oxide (N2O)",20
"1990","1D International transport","F-gases (HFCs+PFCs+SF6)",-
"1990","1D International transport","Hydrofluorocarbons (HFCs)",-
"1990","1D International transport","Perfluorocarbons (PFCs)",-
"1990","1D International transport","Sulfur hexafluoride (SF6)",-
"1990","1D1a International aviation","Total",1015
"1990","1D1a International aviation","Carbon dioxide (CO2)",1008
"1990","1D1a International aviation","Methane (CH4)",0
"1990","1D1a International aviation","Nitrous oxide (N2O)",7
"1990","1D1a International aviation","F-gases (HFCs+PFCs+SF6)",-
"1990","1D1a International aviation","Hydrofluorocarbons (HFCs)",-
"1990","1D1a International aviation","Perfluorocarbons (PFCs)",-
"1990","1D1a International aviation","Sulfur hexafluoride (SF6)",-
"1990","1D1b International navigation","Total",1849
"1990","1D1b International navigation","Carbon dioxide (CO2)",1832
"1990","1D1b International navigation","Methane (CH4)",4
"1990","1D1b International navigation","Nitrous oxide (N2O)",13
"1990","1D1b International navigation","F-gases (HFCs+PFCs+SF6)",-
"1990","1D1b International navigation","Hydrofluorocarbons (HFCs)",-
"1990","1D1b International navigation","Perfluorocarbons (PFCs)",-
"1990","1D1b International navigation","Sulfur hexafluoride (SF6)",-
"1990","2 Industrial processes and product use","Total",5223
"1990","2 Industrial processes and product use","Carbon dioxide (CO2)",3689
"1990","2 Industrial processes and product use","Methane (CH4)",5
"1990","2 Industrial processes and product use","Nitrous oxide (N2O)",1474
"1990","2 Industrial processes and product use","F-gases (HFCs+PFCs+SF6)",54
